Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI
37,Female,56.7,1.66,183,111,81,0.63,284,Strength,32.5,3.07,2,1,20.68
18,Female,73.2,1.71,188,105,65,0.78,426,Yoga,21.2,3.22,4,2,25.13
54,Male,80.4,1.82,171,133,72,1.7,1402,HIIT,22.0,3.8,4,3,24.3
26,Female,74.9,1.67,181,119,74,1.01,690,Cardio,21.5,3.28,4,2,27.02
34,Female,90.5,1.61,176,97,54,1.31,702,Strength,24.9,4.08,3,1,34.74
26,Female,73.3,1.64,185,114,70,1.33,650,Strength,18.8,4.0,6,2,27.23
28,Male,80.1,1.8,193,113,73,0.96,618,Strength,22.7,3.66,4,2,24.66
32,Male,105.0,1.83,178,139,71,1.12,1101,Cardio,16.8,4.21,6,3,31.37
41,Male,82.9,1.74,185,122,56,1.5,1128,Cardio,21.5,3.35,5,3,27.47
55,Female,53.9,1.56,168,135,67,1.48,1166,Cardio,21.5,3.81,3,3,22.25
52,Female,74.6,1.64,163,138,72,1.32,1284,HIIT,27.3,3.76,2,1,27.88
47,Female,71.3,1.62,180,107,70,1.14,469,Yoga,16.6,3.43,4,2,27.32
48,Female,60.7,1.62,186,107,77,0.85,299,Yoga,,3.33,4,1,23.01
22,Female,57.8,1.5,184,128,70,1.49,1155,HIIT,23.4,3.21,5,3,25.67
31,Male,73.8,1.86,175,122,67,1.65,1140,Cardio,21.4,3.8,3,1,21.3
28,Male,70.6,1.68,189,143,73,0.49,573,HIIT,28.6,3.25,2,1,24.95
26,Female,61.3,1.54,181,129,71,0.87,604,Strength,18.2,2.98,2,1,25.99
51,Male,66.2,1.72,178,110,66,1.51,756,Strength,18.1,3.07,3,2,22.34
29,Male,83.4,1.68,192,125,70,1.23,953,HIIT,17.6,3.18,2,1,29.41
52,Male,82.4,1.81,176,143,72,1.36,1291,HIIT,19.9,4.14,2,1,25.24
52,Male,82.8,1.69,179,109,59,1.3,914,HIIT,15.0,3.92,4,3,29.01
18,Female,64.1,1.64,196,123,68,0.89,677,Cardio,21.5,3.29,5,3,23.77
57,Female,62.5,1.64,177,145,79,1.74,1555,HIIT,21.8,3.33,2,1,23.28
39,Female,85.2,1.69,181,128,66,1.53,1283,HIIT,20.9,4.11,3,1,29.66
46,Female,65.9,1.6,182,107,71,1.44,543,Strength,21.2,3.52,5,3,25.79
25,Male,95.7,1.76,188,110,58,1.16,817,Cardio,,3.87,5,3,30.87
28,Male,64.1,1.61,188,140,72,1.13,1047,Cardio,16.4,3.43,2,2,24.71
58,Female,73.2,1.54,189,145,75,1.38,1311,HIIT,23.7,3.91,5,2,31.06
54,Male,67.7,1.64,174,127,70,1.06,702,Strength,7.2,4.19,2,1,25.23
31,Female,57.2,1.63,176,96,58,1.44,589,Strength,32.2,3.73,4,3,21.65
47,Female,59.2,1.63,175,120,63,1.86,1290,Cardio,25.4,4.14,3,2,22.42
52,Male,71.4,1.76,172,125,69,1.62,1119,Cardio,5.0,4.34,4,2,22.99
38,Female,58.4,1.62,179,119,83,0.74,292,Yoga,28.7,2.81,4,1,22.16
54,Female,82.0,1.7,179,105,53,1.48,838,Strength,21.5,3.9,5,3,28.44
22,Female,65.6,1.61,196,134,68,1.12,1065,HIIT,18.4,3.12,5,2,25.27
36,Male,81.2,1.81,181,95,70,1.25,441,Yoga,21.0,3.6,2,1,24.85
31,Male,71.6,1.83,176,134,64,1.28,1169,HIIT,12.3,3.53,5,2,21.45
43,Male,90.0,1.65,179,129,67,2.34,1815,Cardio,18.0,4.42,5,2,32.92
21,Male,83.0,1.74,186,130,64,1.45,1169,Cardio,13.5,4.12,2,2,27.55
42,Male,73.7,1.73,180,133,74,1.25,716,Strength,12.5,3.9,3,2,24.67
59,Female,42.8,1.56,170,127,75,1.95,1114,Strength,24.9,3.0,4,2,17.57
42,Male,81.0,1.73,186,110,64,1.52,927,Cardio,6.4,3.91,4,3,26.96
35,Female,73.1,1.69,184,123,70,0.62,599,HIIT,27.1,3.21,2,1,25.61
57,Female,51.3,1.71,168,114,68,1.11,689,Strength,30.8,2.6,5,1,17.45
25,Female,60.9,1.64,179,134,72,1.36,973,Cardio,33.9,3.23,3,1,22.54
56,Male,85.5,1.81,172,140,78,1.47,1195,Cardio,22.4,4.44,4,2,26.13
57,Female,43.0,1.68,171,123,66,1.65,1161,Cardio,31.8,3.69,2,2,15.15
31,Male,68.9,1.88,183,123,58,1.5,1274,HIIT,12.2,3.13,4,3,19.48
49,Male,83.3,1.58,180,135,65,1.33,1269,Cardio,11.9,4.15,3,2,33.42
55,Female,80.5,1.62,164,125,72,0.81,504,Strength,29.1,3.01,5,2,30.74
50,Male,108.6,1.59,170,93,59,1.98,745,Yoga,11.9,4.7,5,3,42.81
40,Male,105.4,1.56,180,121,71,1.04,742,Cardio,19.5,4.19,2,1,43.59
32,Female,67.0,1.62,181,113,66,1.11,754,Cardio,26.2,3.81,5,3,25.4
50,Male,71.2,1.72,173,113,67,2.07,1115,Cardio,29.6,4.1,2,1,24.13
42,Male,90.9,1.77,179,96,56,1.89,873,Strength,19.6,4.05,4,2,28.89
34,Male,70.4,1.79,187,118,61,1.14,802,Cardio,18.0,3.12,4,2,22.0
50,Female,54.3,1.65,174,117,62,0.64,432,Cardio,19.4,3.04,4,2,19.97
19,Female,60.7,1.52,179,132,70,0.9,768,HIIT,33.3,3.0,3,1,26.12
31,Male,72.0,1.98,181,132,71,1.7,1261,Cardio,21.5,3.8,3,1,18.29
57,Male,83.8,1.77,174,151,72,1.36,1479,HIIT,15.3,4.38,5,2,26.61
57,Male,69.6,1.9,176,114,56,0.98,836,HIIT,12.2,3.65,5,3,19.32
56,Male,79.2,1.56,177,118,75,1.42,709,Strength,17.5,4.57,2,1,32.4
23,Female,87.3,1.68,195,91,61,1.38,571,Strength,22.7,3.67,4,3,31.05
23,Male,79.7,1.74,189,115,60,0.92,633,Cardio,12.2,3.36,4,1,26.46
20,Male,99.2,1.59,192,101,67,1.1,473,Yoga,23.1,4.22,4,2,39.05
24,Female,81.8,1.63,182,117,75,1.76,718,Yoga,30.2,4.92,3,2,30.92
25,Female,73.3,1.62,174,106,72,1.49,562,Yoga,24.2,3.54,3,2,27.76
59,Female,60.0,1.62,162,113,63,0.93,646,Cardio,20.5,3.27,5,3,22.92
32,Male,92.6,1.83,180,141,74,1.43,1295,HIIT,16.9,4.74,3,2,27.61
46,Male,74.5,1.63,169,127,68,1.34,1038,Cardio,17.7,3.81,5,2,28.01
36,Female,74.7,1.68,192,113,62,0.82,592,Strength,20.7,3.76,5,3,26.4
55,Male,56.9,1.79,182,114,58,2.01,1456,HIIT,13.8,3.99,3,3,17.83
39,Female,64.5,1.63,171,114,67,1.68,754,Strength,21.1,3.78,3,2,24.26
51,Female,76.1,1.62,172,95,67,1.51,496,Yoga,26.9,4.56,2,1,28.93
19,Female,76.7,1.69,187,123,75,0.81,618,Cardio,31.8,2.87,2,1,27.03
